id,source,predicate,target,unit,confidence,doc_instance_id,clause_id,support_count,track,evidence_anchors
edge_d81e56bb4c65361f16d7d0c5,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,clause_has_parameter_mention,ParameterMention:pm_7ef0ba7053b731bc4dc9,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,1,strict_all,"[{""char_end"":126,""char_start"":124,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_7d39e550b97a6ee2d4c20b21,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,clause_has_parameter_mention,ParameterMention:pm_bc8148f655e98f58432f,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,1,strict_all,"[{""char_end"":151,""char_start"":149,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_b38db6085482ce4848b4faa3,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,clause_has_parameter_mention,ParameterMention:pm_4ece3c790e910a071a80,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,1,strict_all,"[{""char_end"":32,""char_start"":31,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_52d10ea6e2769bc3e59e4a62,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,clause_has_parameter_mention,ParameterMention:pm_dc1b31753ce89d628b30,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,1,strict_all,"[{""char_end"":17,""char_start"":15,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_3709f6a2b1fe0e521d6a1f85,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0002,clause_has_parameter_mention,ParameterMention:pm_726d66b3a7ab38fac997,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0002,1,strict_all,"[{""char_end"":20,""char_start"":18,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0002"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_b86590297929536b38c7e42a,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0003,clause_has_parameter_mention,ParameterMention:pm_47198a8bd865af94672a,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0003,1,strict_all,"[{""char_end"":22,""char_start"":20,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0003"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_cf9cd3082ea0c4969748b119,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,clause_has_parameter_mention,ParameterMention:pm_a150cf7f65acd3c7ffcd,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,1,strict_all,"[{""char_end"":31,""char_start"":29,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_9aa14386fe67cc32472e81b5,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,clause_has_parameter_mention,ParameterMention:pm_ac61db74de771af19379,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,1,strict_all,"[{""char_end"":49,""char_start"":47,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_db545f62a15c51dd4979cd68,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,clause_has_parameter_mention,ParameterMention:pm_f267ffbca4cab91ec139,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,1,strict_all,"[{""char_end"":14,""char_start"":12,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_8e9b608993e7031e0e2c2af8,Clause:00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,clause_has_parameter_mention,ParameterMention:pm_e002b1ebe3e38ca22583,,1.0,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,1,strict_all,"[{""char_end"":22,""char_start"":20,""clause_id"":""00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003"",""doc_instance_id"":""00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e""}]"
edge_06d57851fd8532281b5deb38,Clause:010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,clause_has_parameter_mention,ParameterMention:pm_5029ab10c882fa59c194,,1.0,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,1,strict_all,"[{""char_end"":38,""char_start"":36,""clause_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004"",""doc_instance_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5""}]"
edge_cc5b9b0e40ada58dae0e8c1b,Clause:010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,clause_has_parameter_mention,ParameterMention:pm_f2694c83066209e5f72f,,1.0,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,1,strict_all,"[{""char_end"":34,""char_start"":32,""clause_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004"",""doc_instance_id"":""010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5""}]"
