id,label,name,doc_instance_id,clause_id,clause_index,clause_type_prelim,clause_text,mechanism_id,mechanism_type,mechanism_source,param_mention_id,param_def_id,param_type,raw_value,raw_unit,norm_value,norm_unit,canonical_key,range_start,range_end,op,scope_unit,bind_confidence,strict_all,strict_high,source_path,extraction_version,track
Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,Clause,,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,0,time_rule,"<h2>file:《关于全面加强生态环境保护坚决打好污染防治攻坚战的实施意见》.txt</h2>
2018-06-24 《关于全面加强生态环境保护坚决打好污染防治攻坚战的实施意见》
全国细颗粒物（PM2.5）未达标地级及以上城市浓度比2015年下降18%以上，地级及以上城市空气质量优良天数比率达到80%以上；",,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,Clause,,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0001,1,other,全国地表水Ⅰ－Ⅲ类水体比例达到70%以上，劣Ⅴ类水体比例控制在5%以内；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0002,Clause,,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0002,2,other,近岸海域水质优良（一、二类）比例达到70%左右；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0003,Clause,,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0003,3,time_rule,二氧化硫、氮氧化物排放量比2015年减少15%以上，化学需氧量、氨氮排放量减少10%以上；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,Clause,,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0004,4,other,受污染耕地安全利用率达到90%左右，污染地块安全利用率达到90%以上；生态保护红线面积占比达到25%左右；森林覆盖率达到23.04%以上。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,Clause,,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,3,time_rule,到2025年，电能占终端能源消费比重达到30%左右。大力推进工业领域电气化。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,Clause,,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5,010dd88159617e9e9382aae1b693db97e9b9aa123fefe31ae3a1ceeca57bb8d5#clause_0004,4,subsidy_rule,2016-2018年采用的奖励标准分别不超过项目设施设备购置费的60%、50%、 40％。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,Clause,,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,2,pricing_rule,明确燃煤发电电量全部进入市场，执行“基准价+上下浮动”机制（高耗能企业不受上浮20%限制），电力现货价格不设浮动幅度限制；,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,Clause,,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,2,subsidy_rule,（含表后线路改造）费用，实行一次补贴，按照4600元/户的标准补贴至用户，市、县（市、区）按照2：3比例分担，不足部分由用户承担。,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,Clause,,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,5,subsidy_rule,自2019年起对本年度“煤改电”用户按照采暖期用电0.2元/千瓦时的标准补贴，每户每年最高补贴电量6000千瓦时,,,,,,,,,,,,,,,,,,,,step7b_iterB_rulefix,strict_all
