id,source,predicate,target,unit,confidence,doc_instance_id,clause_id,support_count,track,evidence_anchors
edge_9797adb5e0b07a441840d1b5,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,clause_has_parameter_mention,ParameterMention:pm_7ef0ba7053b731bc4dc9,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,1,strict_high,"[{""char_end"":126,""char_start"":124,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_412e62e9c7caf40fa5a02918,Clause:00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,clause_has_parameter_mention,ParameterMention:pm_bc8148f655e98f58432f,,1.0,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec,00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000,1,strict_high,"[{""char_end"":151,""char_start"":149,""clause_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec#clause_0000"",""doc_instance_id"":""00a12958eaee9a105dcc89c19bd002fa5ac8761a4154324faee32237e8364fec""}]"
edge_e15411fff6c2b26894831f2b,Clause:00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,clause_has_parameter_mention,ParameterMention:pm_e002b1ebe3e38ca22583,,1.0,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e,00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003,1,strict_high,"[{""char_end"":22,""char_start"":20,""clause_id"":""00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e#clause_0003"",""doc_instance_id"":""00aa3b5579d7b292246153a21cbd53b536f7fc939e95a82707452ad51d14dd7e""}]"
edge_2fc245ef27b07f837702d436,Clause:032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,clause_has_parameter_mention,ParameterMention:pm_3ca15f01e357867b786e,,1.0,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e,032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002,1,strict_high,"[{""char_end"":41,""char_start"":39,""clause_id"":""032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e#clause_0002"",""doc_instance_id"":""032a207733e9fa9167b432840d0ec24e7bd7e2e3d7a43e6faf5b0fc1f64b763e""}]"
edge_cc2efc4fd841a815d42b591b,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,clause_has_parameter_mention,ParameterMention:pm_132cc7045c356346e482,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002,1,strict_high,"[{""char_end"":25,""char_start"":21,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0002"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_214de6207b7da771ec00e4da,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,clause_has_parameter_mention,ParameterMention:pm_6b17b8446a1bebc356a1,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,1,strict_high,"[{""char_end"":53,""char_start"":49,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_1f18c6d3d45cd38072496018,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,clause_has_parameter_mention,ParameterMention:pm_906636a1ac2a22195cc0,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005,1,strict_high,"[{""char_end"":28,""char_start"":25,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0005"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_41c6e76e29d22a84377c134d,Clause:0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,clause_has_parameter_mention,ParameterMention:pm_1e54b120a28b8b5dcaac,,1.0,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141,0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006,1,strict_high,"[{""char_end"":13,""char_start"":9,""clause_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141#clause_0006"",""doc_instance_id"":""0463f8ab2dc0e54e2fd506618b80ede13670db6650cb659109835a35687dc141""}]"
edge_6f5874f5cceea91f631d825e,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_7ad6ad7dbccac758e3f9,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_high,"[{""char_end"":47,""char_start"":45,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
edge_cb6babdfd6dee9984326f006,Clause:0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,clause_has_parameter_mention,ParameterMention:pm_a15aca173d608e747dfb,,1.0,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8,0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002,1,strict_high,"[{""char_end"":43,""char_start"":41,""clause_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8#clause_0002"",""doc_instance_id"":""0ae95f60cf40ef3dbcc874d7e32a0ed5a3d91c7d587ec5cae592c8064a14b8f8""}]"
