gate_item,threshold,observed,pass
normalization_matched_rate,>=0.95,0.980719,True
mechanism_bound_rate_valid_numeric,=1.0,1.0,True
strict_high_rate_valid_numeric,>=0.85,0.85076,True
local_supported_rate_valid_numeric,>=0.85,0.899017,True
kappa_mechanism,>=0.90,0.991969,True
kappa_param_type,>=0.95,1.0,True
mechanism_precision_on_valid_numeric,>=0.95,0.957597,True
normalization_precision_on_valid_numeric,>=0.995,1.0,True
strict_high_precision,>=0.992,0.995475,True
time_raw_not_time_window,=0,0,True
price_value_large_raw_small_norm,=0,0,True
candidate_score_strict_high,=0,0,True
