year,mention_total,valid_all,valid_numeric,normalization_matched_rate_on_valid_all,mechanism_bound_rate_valid_all,strict_high_rate_valid_all,mechanism_bound_rate_valid_numeric,strict_high_rate_valid_numeric
2012,99,99,90,0.909091,1.0,0.868687,1.0,0.955556
2013,17,17,17,1.0,1.0,0.235294,1.0,0.235294
2015,2,2,2,1.0,1.0,0.0,1.0,0.0
2016,57,57,53,0.929825,1.0,0.929825,1.0,1.0
2017,36,36,35,0.972222,1.0,0.5,1.0,0.514286
2018,8,8,8,1.0,1.0,0.5,1.0,0.5
2019,51,51,41,0.803922,1.0,0.666667,1.0,0.829268
2020,21,21,20,0.952381,1.0,0.761905,1.0,0.8
2021,85,85,80,0.941176,1.0,0.823529,1.0,0.875
2022,72,72,70,0.972222,1.0,0.944444,1.0,0.971429
2023,86,86,85,0.988372,0.988372,0.930233,1.0,0.941176
2024,143,143,137,0.958042,1.0,0.93007,1.0,0.970803
